n_active,outcome_noise_probability,method,n_seeds,joint_set_coverage_mean,joint_set_coverage_sd,projection_box_coverage_mean,mean_width,width_seed_sd
4,0,rule_agnostic_partial_identification,20,1,0,1,1,0
4,0,rule_aware_partial_identification,20,1,0,1,0.824776617943,0.00365917576214
4,0.05,rule_agnostic_partial_identification,20,1,0,1,1,0
4,0.05,rule_aware_partial_identification,20,0.9478,0.0132649121647,0.9786,0.82077613127,0.00345774938595
4,0.1,rule_agnostic_partial_identification,20,1,0,1,1,0
4,0.1,rule_aware_partial_identification,20,0.8988,0.0152508843574,0.9544,0.814605090729,0.00485719401766
4,0.2,rule_agnostic_partial_identification,20,1,0,1,1,0
4,0.2,rule_aware_partial_identification,20,0.7968,0.0186084304607,0.9072,0.806141409968,0.00537964072685
5,0,rule_agnostic_partial_identification,20,1,0,1,1,0
5,0,rule_aware_partial_identification,20,1,0,1,0.846346499838,0.00307489141558
5,0.05,rule_agnostic_partial_identification,20,1,0,1,1,0
5,0.05,rule_aware_partial_identification,20,0.951,0.0130988147314,0.9792,0.843198381008,0.00326731769568
5,0.1,rule_agnostic_partial_identification,20,1,0,1,1,0
5,0.1,rule_aware_partial_identification,20,0.897,0.0207592718664,0.9592,0.839147688079,0.00285631913389
5,0.2,rule_agnostic_partial_identification,20,1,0,1,1,0
5,0.2,rule_aware_partial_identification,20,0.8032,0.0240560748428,0.917,0.832997371778,0.0044957420909
6,0,rule_agnostic_partial_identification,20,1,0,1,1,0
6,0,rule_aware_partial_identification,20,1,0,1,0.864106548072,0.00230796535118
6,0.05,rule_agnostic_partial_identification,20,1,0,1,1,0
6,0.05,rule_aware_partial_identification,20,0.9476,0.013228358692,0.976,0.861630091474,0.00257240598523
6,0.1,rule_agnostic_partial_identification,20,1,0,1,1,0
6,0.1,rule_aware_partial_identification,20,0.8998,0.0214613483659,0.9594,0.859707745966,0.00295081336669
6,0.2,rule_agnostic_partial_identification,20,1,0,1,1,0
6,0.2,rule_aware_partial_identification,20,0.7996,0.0212017874122,0.9164,0.853614287402,0.00389498431668
