seed,n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,projection_box_coverage,mean_width
20260716,4,0,rule_agnostic_partial_identification,250,1,1,1
20260716,4,0,rule_aware_partial_identification,250,1,1,0.825048140075
20260716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20260716,4,0.05,rule_aware_partial_identification,250,0.956,0.984,0.815413985991
20260716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20260716,4,0.1,rule_aware_partial_identification,250,0.888,0.952,0.811949529005
20260716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20260716,4,0.2,rule_aware_partial_identification,250,0.816,0.932,0.812805444756
20260716,5,0,rule_agnostic_partial_identification,250,1,1,1
20260716,5,0,rule_aware_partial_identification,250,1,1,0.845467843945
20260716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20260716,5,0.05,rule_aware_partial_identification,250,0.956,0.976,0.846832834938
20260716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20260716,5,0.1,rule_aware_partial_identification,250,0.884,0.948,0.836232636848
20260716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20260716,5,0.2,rule_aware_partial_identification,250,0.784,0.904,0.837434147737
20260716,6,0,rule_agnostic_partial_identification,250,1,1,1
20260716,6,0,rule_aware_partial_identification,250,1,1,0.862851561755
20260716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20260716,6,0.05,rule_aware_partial_identification,250,0.94,0.98,0.860715011324
20260716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20260716,6,0.1,rule_aware_partial_identification,250,0.924,0.972,0.86219910113
20260716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20260716,6,0.2,rule_aware_partial_identification,250,0.816,0.92,0.854252699711
20261716,4,0,rule_agnostic_partial_identification,250,1,1,1
20261716,4,0,rule_aware_partial_identification,250,1,1,0.823898082407
20261716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20261716,4,0.05,rule_aware_partial_identification,250,0.956,0.992,0.827243595046
20261716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20261716,4,0.1,rule_aware_partial_identification,250,0.92,0.964,0.822126698069
20261716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20261716,4,0.2,rule_aware_partial_identification,250,0.78,0.888,0.793395076573
20261716,5,0,rule_agnostic_partial_identification,250,1,1,1
20261716,5,0,rule_aware_partial_identification,250,1,1,0.846324207265
20261716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20261716,5,0.05,rule_aware_partial_identification,250,0.952,0.984,0.839545666136
20261716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20261716,5,0.1,rule_aware_partial_identification,250,0.88,0.952,0.838031368155
20261716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20261716,5,0.2,rule_aware_partial_identification,250,0.776,0.912,0.829801341616
20261716,6,0,rule_agnostic_partial_identification,250,1,1,1
20261716,6,0,rule_aware_partial_identification,250,1,1,0.860715638165
20261716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20261716,6,0.05,rule_aware_partial_identification,250,0.968,0.984,0.857038320351
20261716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20261716,6,0.1,rule_aware_partial_identification,250,0.908,0.972,0.862631251751
20261716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20261716,6,0.2,rule_aware_partial_identification,250,0.808,0.912,0.854151948812
20262716,4,0,rule_agnostic_partial_identification,250,1,1,1
20262716,4,0,rule_aware_partial_identification,250,1,1,0.832866841383
20262716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20262716,4,0.05,rule_aware_partial_identification,250,0.932,0.98,0.817407901393
20262716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20262716,4,0.1,rule_aware_partial_identification,250,0.904,0.944,0.815674657231
20262716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20262716,4,0.2,rule_aware_partial_identification,250,0.804,0.908,0.80382313139
20262716,5,0,rule_agnostic_partial_identification,250,1,1,1
20262716,5,0,rule_aware_partial_identification,250,1,1,0.847384655205
20262716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20262716,5,0.05,rule_aware_partial_identification,250,0.956,0.976,0.846137494253
20262716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20262716,5,0.1,rule_aware_partial_identification,250,0.904,0.952,0.836814500422
20262716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
