season,week,regime,tie_policy,contestant_id,contestant_name,n_active,exact_fan_rank_min,exact_fan_rank_max,exact_fan_rank_width,exact_normalized_fan_rank_width
1,1,R,average_rank,c_0682911ef89b,Rachel Hunter,6,1,6,5,1
1,1,R,average_rank,c_49123aa8f5b9,John O'Hurley,6,1,6,5,1
1,1,R,average_rank,c_6137c0511f62,Trista Sutter,6,1,6,5,1
1,1,R,average_rank,c_71c2de6f33c9,Kelly Monaco,6,1,6,5,1
1,1,R,average_rank,c_b3130ebf99b2,Evander Holyfield,6,1,6,5,1
1,1,R,average_rank,c_f6318fd0c251,Joey McIntyre,6,1,6,5,1
1,2,R,average_rank,c_0682911ef89b,Rachel Hunter,6,1,6,5,1
1,2,R,average_rank,c_49123aa8f5b9,John O'Hurley,6,1,6,5,1
1,2,R,average_rank,c_6137c0511f62,Trista Sutter,6,3,6,3,0.6
1,2,R,average_rank,c_71c2de6f33c9,Kelly Monaco,6,1,5,4,0.8
1,2,R,average_rank,c_b3130ebf99b2,Evander Holyfield,6,1,4,3,0.6
1,2,R,average_rank,c_f6318fd0c251,Joey McIntyre,6,1,6,5,1
1,3,R,average_rank,c_0682911ef89b,Rachel Hunter,5,1,5,4,1
1,3,R,average_rank,c_49123aa8f5b9,John O'Hurley,5,1,5,4,1
1,3,R,average_rank,c_71c2de6f33c9,Kelly Monaco,5,1,5,4,1
1,3,R,average_rank,c_b3130ebf99b2,Evander Holyfield,5,1,5,4,1
1,3,R,average_rank,c_f6318fd0c251,Joey McIntyre,5,1,5,4,1
1,4,R,average_rank,c_0682911ef89b,Rachel Hunter,4,3,4,1,0.333333333333
1,4,R,average_rank,c_49123aa8f5b9,John O'Hurley,4,1,3,2,0.666666666667
1,4,R,average_rank,c_71c2de6f33c9,Kelly Monaco,4,1,4,3,1
1,4,R,average_rank,c_f6318fd0c251,Joey McIntyre,4,1,2,1,0.333333333333
1,5,R,average_rank,c_49123aa8f5b9,John O'Hurley,3,1,3,2,1
1,5,R,average_rank,c_71c2de6f33c9,Kelly Monaco,3,1,3,2,1
1,5,R,average_rank,c_f6318fd0c251,Joey McIntyre,3,1,3,2,1
1,6,R,average_rank,c_49123aa8f5b9,John O'Hurley,2,1,2,1,1
1,6,R,average_rank,c_71c2de6f33c9,Kelly Monaco,2,1,2,1,1
2,1,R,average_rank,c_13a7bbd24206,Giselle Fernandez,10,1,10,9,1
2,1,R,average_rank,c_177970c9c122,Kenny Mayne,10,3,10,7,0.777777777778
2,1,R,average_rank,c_3f08c95bde83,Drew Lachey,10,1,10,9,1
2,1,R,average_rank,c_4cf510a71847,Jerry Rice,10,1,10,9,1
2,1,R,average_rank,c_53e4c2aa2341,Lisa Rinna,10,1,10,9,1
2,1,R,average_rank,c_7054ec253426,Master P,10,1,9,8,0.888888888889
2,1,R,average_rank,c_7758f7fcffaf,Stacy Keibler,10,1,10,9,1
2,1,R,average_rank,c_ca6e18e948c8,Tatum O'Neal,10,1,10,9,1
2,1,R,average_rank,c_ce811e8a803f,Tia Carrere,10,1,10,9,1
2,1,R,average_rank,c_ee75a32adcd8,George Hamilton,10,1,10,9,1
2,2,R,average_rank,c_13a7bbd24206,Giselle Fernandez,9,1,9,8,1
2,2,R,average_rank,c_3f08c95bde83,Drew Lachey,9,1,9,8,1
2,2,R,average_rank,c_4cf510a71847,Jerry Rice,9,1,9,8,1
2,2,R,average_rank,c_53e4c2aa2341,Lisa Rinna,9,1,9,8,1
2,2,R,average_rank,c_7054ec253426,Master P,9,1,8,7,0.875
2,2,R,average_rank,c_7758f7fcffaf,Stacy Keibler,9,1,9,8,1
2,2,R,average_rank,c_ca6e18e948c8,Tatum O'Neal,9,3,9,6,0.75
2,2,R,average_rank,c_ce811e8a803f,Tia Carrere,9,1,9,8,1
2,2,R,average_rank,c_ee75a32adcd8,George Hamilton,9,1,9,8,1
2,3,R,average_rank,c_13a7bbd24206,Giselle Fernandez,8,4,8,4,0.571428571429
2,3,R,average_rank,c_3f08c95bde83,Drew Lachey,8,1,8,7,1
2,3,R,average_rank,c_4cf510a71847,Jerry Rice,8,1,6,5,0.714285714286
2,3,R,average_rank,c_53e4c2aa2341,Lisa Rinna,8,1,8,7,1
2,3,R,average_rank,c_7054ec253426,Master P,8,1,5,4,0.571428571429
2,3,R,average_rank,c_7758f7fcffaf,Stacy Keibler,8,1,8,7,1
2,3,R,average_rank,c_ce811e8a803f,Tia Carrere,8,1,8,7,1
2,3,R,average_rank,c_ee75a32adcd8,George Hamilton,8,1,7,6,0.857142857143
2,4,R,average_rank,c_3f08c95bde83,Drew Lachey,7,1,7,6,1
