season,week,regime,tie_policy,n_active,n_eliminated,n_withdrawn,finale_week,exact_endpoint_feasible,exact_normalized_rank_width,direct_R_like_exact_normalized_rank_width,weak_minus_direct_exact_width,solver_calls,solver
1,1,R,average_rank,6,0,0,False,True,1,,,12,scipy.optimize.milp-highs
1,2,R,average_rank,6,1,0,False,True,0.833333333333,,,12,scipy.optimize.milp-highs
1,3,R,average_rank,5,1,0,False,True,1,,,10,scipy.optimize.milp-highs
1,4,R,average_rank,4,1,0,False,True,0.583333333333,,,8,scipy.optimize.milp-highs
1,5,R,average_rank,3,0,0,False,True,1,,,6,scipy.optimize.milp-highs
1,6,R,average_rank,2,0,0,True,True,1,,,4,scipy.optimize.milp-highs
2,1,R,average_rank,10,1,0,False,True,0.966666666667,,,20,scipy.optimize.milp-highs
2,2,R,average_rank,9,1,0,False,True,0.958333333333,,,18,scipy.optimize.milp-highs
2,3,R,average_rank,8,1,0,False,True,0.839285714286,,,16,scipy.optimize.milp-highs
2,4,R,average_rank,7,1,0,False,True,0.97619047619,,,14,scipy.optimize.milp-highs
2,5,R,average_rank,6,1,0,False,True,1,,,12,scipy.optimize.milp-highs
2,6,R,average_rank,5,1,0,False,True,0.9,,,10,scipy.optimize.milp-highs
2,7,R,average_rank,4,1,0,False,True,0.75,,,8,scipy.optimize.milp-highs
2,8,R,average_rank,3,0,0,True,True,0.666666666667,,,6,scipy.optimize.milp-highs
28,1,R_plus,average_rank,12,0,0,False,True,1,1,0,48,scipy.optimize.milp-highs
28,2,R_plus,average_rank,12,1,1,False,True,0.992424242424,0.969696969697,0.0227272727273,48,scipy.optimize.milp-highs
28,3,R_plus,average_rank,10,0,0,False,True,1,1,0,40,scipy.optimize.milp-highs
28,4,R_plus,average_rank,10,1,0,False,True,0.988888888889,0.977777777778,0.0111111111111,40,scipy.optimize.milp-highs
28,5,R_plus,average_rank,9,0,0,False,True,1,1,0,36,scipy.optimize.milp-highs
28,6,R_plus,average_rank,9,1,0,False,True,0.847222222222,0.180555555556,0.666666666667,36,scipy.optimize.milp-highs
28,7,R_plus,average_rank,8,1,0,False,True,0.964285714286,0.892857142857,0.0714285714286,32,scipy.optimize.milp-highs
28,8,R_plus,average_rank,7,1,0,False,True,0.97619047619,0.880952380952,0.0952380952381,28,scipy.optimize.milp-highs
28,9,R_plus,average_rank,6,1,0,False,True,1,1,0,24,scipy.optimize.milp-highs
28,10,R_plus,average_rank,5,1,0,False,True,1,0.95,0.05,20,scipy.optimize.milp-highs
28,11,R_plus,average_rank,4,0,0,True,True,0.5,0.5,0,16,scipy.optimize.milp-highs
29,1,R_plus,average_rank,15,0,0,False,True,1,1,0,60,scipy.optimize.milp-highs
29,2,R_plus,average_rank,15,1,0,False,True,0.990476190476,0.980952380952,0.00952380952381,60,scipy.optimize.milp-highs
29,3,R_plus,average_rank,14,1,0,False,True,1,0.994505494505,0.00549450549451,56,scipy.optimize.milp-highs
29,4,R_plus,average_rank,13,1,0,False,True,0.980769230769,0.955128205128,0.025641025641,52,scipy.optimize.milp-highs
29,5,R_plus,average_rank,12,1,0,False,True,0.984848484848,0.969696969697,0.0151515151515,48,scipy.optimize.milp-highs
29,6,R_plus,average_rank,11,1,0,False,True,0.981818181818,0.963636363636,0.0181818181818,44,scipy.optimize.milp-highs
29,7,R_plus,average_rank,10,1,1,False,True,1,1,0,40,scipy.optimize.milp-highs
29,8,R_plus,average_rank,8,1,0,False,True,0.964285714286,0.839285714286,0.125,32,scipy.optimize.milp-highs
29,9,R_plus,average_rank,7,1,0,False,True,0.97619047619,0.928571428571,0.047619047619,28,scipy.optimize.milp-highs
29,10,R_plus,average_rank,6,2,0,False,True,1,0.733333333333,0.266666666667,24,scipy.optimize.milp-highs
29,11,R_plus,average_rank,4,0,0,True,True,0.166666666667,0.166666666667,0,16,scipy.optimize.milp-highs
30,1,R_plus,average_rank,15,0,0,False,True,1,1,0,60,scipy.optimize.milp-highs
30,2,R_plus,average_rank,15,1,0,False,True,1,0.995238095238,0.0047619047619,60,scipy.optimize.milp-highs
30,3,R_plus,average_rank,14,1,0,False,True,0.967032967033,0.82967032967,0.137362637363,56,scipy.optimize.milp-highs
30,4,R_plus,average_rank,13,2,0,False,True,1,0.99358974359,0.00641025641026,52,scipy.optimize.milp-highs
30,5,R_plus,average_rank,11,1,0,False,True,0.936363636364,0.718181818182,0.218181818182,44,scipy.optimize.milp-highs
30,6,R_plus,average_rank,10,1,0,False,True,1,0.988888888889,0.0111111111111,40,scipy.optimize.milp-highs
30,7,R_plus,average_rank,9,1,0,False,True,1,0.986111111111,0.0138888888889,36,scipy.optimize.milp-highs
30,8,R_plus,average_rank,8,2,0,False,True,0.982142857143,0.964285714286,0.0178571428571,32,scipy.optimize.milp-highs
30,9,R_plus,average_rank,6,2,0,False,True,0.966666666667,0.733333333333,0.233333333333,24,scipy.optimize.milp-highs
30,10,R_plus,average_rank,4,0,0,True,True,0.5,0.5,0,16,scipy.optimize.milp-highs
31,1,R_plus,average_rank,16,1,0,False,True,0.995833333333,0.9875,0.00833333333333,64,scipy.optimize.milp-highs
31,2,R_plus,average_rank,15,1,0,False,True,0.995238095238,0.985714285714,0.00952380952381,60,scipy.optimize.milp-highs
31,3,R_plus,average_rank,14,1,0,False,True,0.994505494505,0.983516483516,0.010989010989,56,scipy.optimize.milp-highs
31,4,R_plus,average_rank,13,1,0,False,True,1,0.99358974359,0.00641025641026,52,scipy.optimize.milp-highs
31,5,R_plus,average_rank,12,1,1,False,True,0.984848484848,0.954545454545,0.030303030303,48,scipy.optimize.milp-highs
31,6,R_plus,average_rank,10,1,0,False,True,0.977777777778,0.955555555556,0.0222222222222,40,scipy.optimize.milp-highs
31,7,R_plus,average_rank,9,1,0,False,True,0.986111111111,0.958333333333,0.0277777777778,36,scipy.optimize.milp-highs
31,8,R_plus,average_rank,8,2,0,False,True,1,0.982142857143,0.0178571428571,32,scipy.optimize.milp-highs
31,9,R_plus,average_rank,6,2,0,False,True,1,0.966666666667,0.0333333333333,24,scipy.optimize.milp-highs
31,10,R_plus,average_rank,4,0,0,True,True,0.5,0.5,0,16,scipy.optimize.milp-highs
32,1,R_plus,average_rank,14,1,0,False,True,0.994505494505,0.978021978022,0.0164835164835,56,scipy.optimize.milp-highs
32,2,R_plus,average_rank,13,1,0,False,True,0.974358974359,0.903846153846,0.0705128205128,52,scipy.optimize.milp-highs
32,3,R_plus,average_rank,12,1,0,False,True,1,0.992424242424,0.00757575757576,48,scipy.optimize.milp-highs
32,4,R_plus,average_rank,11,1,0,False,True,0.963636363636,0.845454545455,0.118181818182,44,scipy.optimize.milp-highs
32,5,R_plus,average_rank,10,1,0,False,True,0.966666666667,0.922222222222,0.0444444444444,40,scipy.optimize.milp-highs
32,6,R_plus,average_rank,9,1,0,False,True,0.972222222222,0.875,0.0972222222222,36,scipy.optimize.milp-highs
32,7,R_plus,average_rank,8,1,0,False,True,0.910714285714,0.607142857143,0.303571428571,32,scipy.optimize.milp-highs
32,8,R_plus,average_rank,7,1,0,False,True,0.97619047619,0.880952380952,0.0952380952381,28,scipy.optimize.milp-highs
32,9,R_plus,average_rank,6,1,0,False,True,1,1,0,24,scipy.optimize.milp-highs
32,10,R_plus,average_rank,5,0,0,False,True,1,1,0,20,scipy.optimize.milp-highs
32,11,R_plus,average_rank,5,0,0,True,True,0.4,0.4,0,20,scipy.optimize.milp-highs
33,1,R_plus,average_rank,13,0,0,False,True,1,1,0,52,scipy.optimize.milp-highs
33,2,R_plus,average_rank,13,2,0,False,True,0.967948717949,0.910256410256,0.0576923076923,52,scipy.optimize.milp-highs
33,3,R_plus,average_rank,11,2,0,False,True,1,0.990909090909,0.00909090909091,44,scipy.optimize.milp-highs
33,4,R_plus,average_rank,9,1,0,False,True,0.944444444444,0.833333333333,0.111111111111,36,scipy.optimize.milp-highs
33,5,R_plus,average_rank,8,1,0,False,True,0.982142857143,0.928571428571,0.0535714285714,32,scipy.optimize.milp-highs
33,6,R_plus,average_rank,7,1,0,False,True,0.928571428571,0.690476190476,0.238095238095,28,scipy.optimize.milp-highs
33,7,R_plus,average_rank,6,1,0,False,True,1,1,0,24,scipy.optimize.milp-highs
33,8,R_plus,average_rank,5,0,0,False,True,1,1,0,20,scipy.optimize.milp-highs
33,9,R_plus,average_rank,5,0,0,True,True,0.35,0.35,0,20,scipy.optimize.milp-highs
34,1,R_plus,average_rank,14,0,0,False,True,1,1,0,56,scipy.optimize.milp-highs
34,2,R_plus,average_rank,14,2,0,False,True,0.989010989011,0.961538461538,0.0274725274725,56,scipy.optimize.milp-highs
34,3,R_plus,average_rank,12,1,0,False,True,0.992424242424,0.977272727273,0.0151515151515,48,scipy.optimize.milp-highs
34,4,R_plus,average_rank,11,1,0,False,True,0.954545454545,0.790909090909,0.163636363636,44,scipy.optimize.milp-highs
34,5,R_plus,average_rank,10,0,0,False,True,1,1,0,40,scipy.optimize.milp-highs
34,6,R_plus,average_rank,10,1,0,False,True,0.988888888889,0.966666666667,0.0222222222222,40,scipy.optimize.milp-highs
34,7,R_plus,average_rank,9,1,0,False,True,0.972222222222,0.916666666667,0.0555555555556,36,scipy.optimize.milp-highs
34,8,R_plus,average_rank,8,1,0,False,True,0.982142857143,0.946428571429,0.0357142857143,32,scipy.optimize.milp-highs
34,9,R_plus,average_rank,7,1,0,False,True,1,0.97619047619,0.0238095238095,28,scipy.optimize.milp-highs
34,10,R_plus,average_rank,6,1,0,False,True,0.9,0.566666666667,0.333333333333,24,scipy.optimize.milp-highs
34,11,R_plus,average_rank,5,0,0,True,True,0.5,0.5,0,20,scipy.optimize.milp-highs
1,1,R,min_rank,6,0,0,False,True,1,,,12,scipy.optimize.milp-highs
1,2,R,min_rank,6,1,0,False,True,0.833333333333,,,12,scipy.optimize.milp-highs
1,3,R,min_rank,5,1,0,False,True,1,,,10,scipy.optimize.milp-highs
1,4,R,min_rank,4,1,0,False,True,0.583333333333,,,8,scipy.optimize.milp-highs
1,5,R,min_rank,3,0,0,False,True,1,,,6,scipy.optimize.milp-highs
1,6,R,min_rank,2,0,0,True,True,1,,,4,scipy.optimize.milp-highs
2,1,R,min_rank,10,1,0,False,True,0.977777777778,,,20,scipy.optimize.milp-highs
2,2,R,min_rank,9,1,0,False,True,0.972222222222,,,18,scipy.optimize.milp-highs
2,3,R,min_rank,8,1,0,False,True,0.839285714286,,,16,scipy.optimize.milp-highs
2,4,R,min_rank,7,1,0,False,True,1,,,14,scipy.optimize.milp-highs
2,5,R,min_rank,6,1,0,False,True,1,,,12,scipy.optimize.milp-highs
2,6,R,min_rank,5,1,0,False,True,0.9,,,10,scipy.optimize.milp-highs
2,7,R,min_rank,4,1,0,False,True,0.833333333333,,,8,scipy.optimize.milp-highs
2,8,R,min_rank,3,0,0,True,True,0.666666666667,,,6,scipy.optimize.milp-highs
28,1,R_plus,min_rank,12,0,0,False,True,1,,,24,scipy.optimize.milp-highs
28,2,R_plus,min_rank,12,1,1,False,True,1,,,24,scipy.optimize.milp-highs
28,3,R_plus,min_rank,10,0,0,False,True,1,,,20,scipy.optimize.milp-highs
28,4,R_plus,min_rank,10,1,0,False,True,1,,,20,scipy.optimize.milp-highs
28,5,R_plus,min_rank,9,0,0,False,True,1,,,18,scipy.optimize.milp-highs
28,6,R_plus,min_rank,9,1,0,False,True,0.805555555556,,,18,scipy.optimize.milp-highs
28,7,R_plus,min_rank,8,1,0,False,True,0.982142857143,,,16,scipy.optimize.milp-highs
28,8,R_plus,min_rank,7,1,0,False,True,0.97619047619,,,14,scipy.optimize.milp-highs
28,9,R_plus,min_rank,6,1,0,False,True,1,,,12,scipy.optimize.milp-highs
28,10,R_plus,min_rank,5,1,0,False,True,1,,,10,scipy.optimize.milp-highs
28,11,R_plus,min_rank,4,0,0,True,True,0.5,,,8,scipy.optimize.milp-highs
29,1,R_plus,min_rank,15,0,0,False,True,1,,,30,scipy.optimize.milp-highs
29,2,R_plus,min_rank,15,1,0,False,True,1,,,30,scipy.optimize.milp-highs
29,3,R_plus,min_rank,14,1,0,False,True,1,,,28,scipy.optimize.milp-highs
29,4,R_plus,min_rank,13,1,0,False,True,0.987179487179,,,26,scipy.optimize.milp-highs
29,5,R_plus,min_rank,12,1,0,False,True,1,,,24,scipy.optimize.milp-highs
29,6,R_plus,min_rank,11,1,0,False,True,1,,,22,scipy.optimize.milp-highs
29,7,R_plus,min_rank,10,1,1,False,True,1,,,20,scipy.optimize.milp-highs
29,8,R_plus,min_rank,8,1,0,False,True,0.964285714286,,,16,scipy.optimize.milp-highs
29,9,R_plus,min_rank,7,1,0,False,True,1,,,14,scipy.optimize.milp-highs
29,10,R_plus,min_rank,6,2,0,False,True,1,,,12,scipy.optimize.milp-highs
29,11,R_plus,min_rank,4,0,0,True,True,0,,,8,scipy.optimize.milp-highs
30,1,R_plus,min_rank,15,0,0,False,True,1,,,30,scipy.optimize.milp-highs
30,2,R_plus,min_rank,15,1,0,False,True,1,,,30,scipy.optimize.milp-highs
30,3,R_plus,min_rank,14,1,0,False,True,0.967032967033,,,28,scipy.optimize.milp-highs
30,4,R_plus,min_rank,13,2,0,False,True,1,,,26,scipy.optimize.milp-highs
30,5,R_plus,min_rank,11,1,0,False,True,0.936363636364,,,22,scipy.optimize.milp-highs
30,6,R_plus,min_rank,10,1,0,False,True,1,,,20,scipy.optimize.milp-highs
30,7,R_plus,min_rank,9,1,0,False,True,1,,,18,scipy.optimize.milp-highs
30,8,R_plus,min_rank,8,2,0,False,True,1,,,16,scipy.optimize.milp-highs
30,9,R_plus,min_rank,6,2,0,False,True,0.966666666667,,,12,scipy.optimize.milp-highs
30,10,R_plus,min_rank,4,0,0,True,True,0.666666666667,,,8,scipy.optimize.milp-highs
31,1,R_plus,min_rank,16,1,0,False,True,1,,,32,scipy.optimize.milp-highs
31,2,R_plus,min_rank,15,1,0,False,True,1,,,30,scipy.optimize.milp-highs
31,3,R_plus,min_rank,14,1,0,False,True,1,,,28,scipy.optimize.milp-highs
