season,week,regime,tie_policy,n_active,n_eliminated,n_withdrawn,finale_week,exact_endpoint_feasible,exact_normalized_rank_width,direct_R_like_exact_normalized_rank_width,weak_minus_direct_exact_width,solver_calls,solver,normalized_rank_width,enumeration_method,feasible_fraction,mc_standard_error,identifiability_loss_ratio,exact_minus_legacy_normalized_width
1,1,R,average_rank,6,0,0,False,True,1,,,12,scipy.optimize.milp-highs,1,exact,1,0,1,0
1,2,R,average_rank,6,1,0,False,True,0.833333333333,,,12,scipy.optimize.milp-highs,0.833333333333,exact,0.231944444444,0,1,3.33399974295e-13
1,3,R,average_rank,5,1,0,False,True,1,,,10,scipy.optimize.milp-highs,1,exact,0.625,0,1,0
1,4,R,average_rank,4,1,0,False,True,0.583333333333,,,8,scipy.optimize.milp-highs,0.583333333333,exact,0.208333333333,0,1,3.33399974295e-13
1,5,R,average_rank,3,0,0,False,True,1,,,6,scipy.optimize.milp-highs,1,exact,1,0,1,0
1,6,R,average_rank,2,0,0,True,True,1,,,4,scipy.optimize.milp-highs,1,exact,1,0,1,0
2,1,R,average_rank,10,1,0,False,True,0.966666666667,,,20,scipy.optimize.milp-highs,0.966666666667,monte_carlo,0.32408,0.00209309413835,1,-3.33399974295e-13
2,2,R,average_rank,9,1,0,False,True,0.958333333333,,,18,scipy.optimize.milp-highs,0.958333333333,exact,0.328384038801,0,1,3.33399974295e-13
2,3,R,average_rank,8,1,0,False,True,0.839285714286,,,16,scipy.optimize.milp-highs,0.839285714286,exact,0.12619047619,0,1,-2.85660384236e-13
2,4,R,average_rank,7,1,0,False,True,0.97619047619,,,14,scipy.optimize.milp-highs,0.97619047619,exact,0.51626984127,0,1,4.76174655262e-13
2,5,R,average_rank,6,1,0,False,True,1,,,12,scipy.optimize.milp-highs,1,exact,0.565277777778,0,1,0
2,6,R,average_rank,5,1,0,False,True,0.9,,,10,scipy.optimize.milp-highs,0.9,exact,0.433333333333,0,1,0
2,7,R,average_rank,4,1,0,False,True,0.75,,,8,scipy.optimize.milp-highs,0.75,exact,0.416666666667,0,1,0
2,8,R,average_rank,3,0,0,True,True,0.666666666667,,,6,scipy.optimize.milp-highs,0.666666666667,exact,0.5,0,1,-3.33399974295e-13
28,1,R_plus,average_rank,12,0,0,False,True,1,1,0,48,scipy.optimize.milp-highs,1,monte_carlo,1,0,1,0
28,2,R_plus,average_rank,12,1,1,False,True,0.992424242424,0.969696969697,0.0227272727273,48,scipy.optimize.milp-highs,0.984848484848,monte_carlo,0.4845,0.00499759692252,1.73905240488,0.00757575757624
28,3,R_plus,average_rank,10,0,0,False,True,1,1,0,40,scipy.optimize.milp-highs,1,monte_carlo,1,0,1,0
28,4,R_plus,average_rank,10,1,0,False,True,0.988888888889,0.977777777778,0.0111111111111,40,scipy.optimize.milp-highs,0.988888888889,monte_carlo,0.6095,0.00487862429379,1.44499762921,-1.11022302463e-13
28,5,R_plus,average_rank,9,0,0,False,True,1,1,0,36,scipy.optimize.milp-highs,1,exact,1,0,1,0
28,6,R_plus,average_rank,9,1,0,False,True,0.847222222222,0.180555555556,0.666666666667,36,scipy.optimize.milp-highs,0.847222222222,exact,0.00473985890653,0,53.75,2.22155627227e-13
28,7,R_plus,average_rank,8,1,0,False,True,0.964285714286,0.892857142857,0.0714285714286,32,scipy.optimize.milp-highs,0.964285714286,exact,0.45431547619,0,1.94087730451,-2.85660384236e-13
28,8,R_plus,average_rank,7,1,0,False,True,0.97619047619,0.880952380952,0.0952380952381,28,scipy.optimize.milp-highs,0.97619047619,exact,0.462896825397,0,1.97879558948,4.76174655262e-13
28,9,R_plus,average_rank,6,1,0,False,True,1,1,0,24,scipy.optimize.milp-highs,1,exact,0.809722222222,0,1.43243243243,0
28,10,R_plus,average_rank,5,1,0,False,True,1,0.95,0.05,20,scipy.optimize.milp-highs,1,exact,0.833333333333,0,1.5625,0
28,11,R_plus,average_rank,4,0,0,True,True,0.5,0.5,0,16,scipy.optimize.milp-highs,0.5,exact,0.166666666667,0,1,0
29,1,R_plus,average_rank,15,0,0,False,True,1,1,0,60,scipy.optimize.milp-highs,1,monte_carlo,1,0,1,0
29,2,R_plus,average_rank,15,1,0,False,True,0.990476190476,0.980952380952,0.00952380952381,60,scipy.optimize.milp-highs,0.990476190476,monte_carlo,0.4871,0.00499833562298,1.54979319122,1.90514271026e-13
29,3,R_plus,average_rank,14,1,0,False,True,1,0.994505494505,0.00549450549451,56,scipy.optimize.milp-highs,0.983516483516,monte_carlo,0.4982,0.0049999675999,1.47309284447,0.016483516484
29,4,R_plus,average_rank,13,1,0,False,True,0.980769230769,0.955128205128,0.025641025641,52,scipy.optimize.milp-highs,0.980769230769,monte_carlo,0.416,0.00492893497624,1.77172061329,2.3081536682e-13
29,5,R_plus,average_rank,12,1,0,False,True,0.984848484848,0.969696969697,0.0151515151515,48,scipy.optimize.milp-highs,0.984848484848,monte_carlo,0.5008,0.0049999936,1.54663372452,4.84834394854e-13
29,6,R_plus,average_rank,11,1,0,False,True,0.981818181818,0.963636363636,0.0181818181818,44,scipy.optimize.milp-highs,0.981818181818,monte_carlo,0.4847,0.00499765855176,1.61405261405,1.81854531434e-13
29,7,R_plus,average_rank,10,1,1,False,True,1,1,0,40,scipy.optimize.milp-highs,1,monte_carlo,0.707,0.00455138440477,1.42569066344,0
29,8,R_plus,average_rank,8,1,0,False,True,0.964285714286,0.839285714286,0.125,32,scipy.optimize.milp-highs,0.964285714286,exact,0.324900793651,0,2.57468553459,-2.85660384236e-13
29,9,R_plus,average_rank,7,1,0,False,True,0.97619047619,0.928571428571,0.047619047619,28,scipy.optimize.milp-highs,0.97619047619,exact,0.572222222222,0,1.57768052516,4.76174655262e-13
29,10,R_plus,average_rank,6,2,0,False,True,1,0.733333333333,0.266666666667,24,scipy.optimize.milp-highs,1,exact,0.422222222222,0,3.16666666667,0
29,11,R_plus,average_rank,4,0,0,True,True,0.166666666667,0.166666666667,0,16,scipy.optimize.milp-highs,0.166666666667,exact,0.0833333333333,0,1,-3.33344463144e-13
30,1,R_plus,average_rank,15,0,0,False,True,1,1,0,60,scipy.optimize.milp-highs,1,monte_carlo,1,0,1,0
30,2,R_plus,average_rank,15,1,0,False,True,1,0.995238095238,0.0047619047619,60,scipy.optimize.milp-highs,0.990476190476,monte_carlo,0.5157,0.00499753449213,1.4490025288,0.009523809524
30,3,R_plus,average_rank,14,1,0,False,True,0.967032967033,0.82967032967,0.137362637363,56,scipy.optimize.milp-highs,0.956043956044,monte_carlo,0.0918,0.00288743415509,5.59756097561,0.010989010989
30,4,R_plus,average_rank,13,2,0,False,True,1,0.99358974359,0.00641025641026,52,scipy.optimize.milp-highs,0.987179487179,monte_carlo,0.3437,0.0047494242809,1.82430997877,0.012820512821
30,5,R_plus,average_rank,11,1,0,False,True,0.936363636364,0.718181818182,0.218181818182,44,scipy.optimize.milp-highs,0.936363636364,monte_carlo,0.0641,0.00244930990281,5.67256637168,-3.63709062867e-13
30,6,R_plus,average_rank,10,1,0,False,True,1,0.988888888889,0.0111111111111,40,scipy.optimize.milp-highs,0.988888888889,monte_carlo,0.6131,0.00487040439799,1.50712881023,0.011111111111
30,7,R_plus,average_rank,9,1,0,False,True,1,0.986111111111,0.0138888888889,36,scipy.optimize.milp-highs,1,exact,0.65,0,1.41044776119,0
30,8,R_plus,average_rank,8,2,0,False,True,0.982142857143,0.964285714286,0.0178571428571,32,scipy.optimize.milp-highs,0.982142857143,exact,0.511160714286,0,1.91685267857,-1.42885703269e-13
30,9,R_plus,average_rank,6,2,0,False,True,0.966666666667,0.733333333333,0.233333333333,24,scipy.optimize.milp-highs,0.966666666667,exact,0.348611111111,0,3.02409638554,-3.33399974295e-13
30,10,R_plus,average_rank,4,0,0,True,True,0.5,0.5,0,16,scipy.optimize.milp-highs,0.5,exact,0.166666666667,0,1,0
31,1,R_plus,average_rank,16,1,0,False,True,0.995833333333,0.9875,0.00833333333333,64,scipy.optimize.milp-highs,0.979166666667,monte_carlo,0.4215,0.00493799301336,1.54735682819,0.0166666666663
31,2,R_plus,average_rank,15,1,0,False,True,0.995238095238,0.985714285714,0.00952380952381,60,scipy.optimize.milp-highs,0.985714285714,monte_carlo,0.4343,0.00495664715307,1.54885877318,0.0095238095241
31,3,R_plus,average_rank,14,1,0,False,True,0.994505494505,0.983516483516,0.010989010989,56,scipy.optimize.milp-highs,0.983516483516,monte_carlo,0.4451,0.00496976850568,1.58173418621,0.0109890109895
31,4,R_plus,average_rank,13,1,0,False,True,1,0.99358974359,0.00641025641026,52,scipy.optimize.milp-highs,0.987179487179,monte_carlo,0.5186,0.00499653920229,1.50449666377,0.012820512821
31,5,R_plus,average_rank,12,1,1,False,True,0.984848484848,0.954545454545,0.030303030303,48,scipy.optimize.milp-highs,0.969696969697,monte_carlo,0.3852,0.00486642538215,1.76535288726,0.0151515151515
31,6,R_plus,average_rank,10,1,0,False,True,0.977777777778,0.955555555556,0.0222222222222,40,scipy.optimize.milp-highs,0.977777777778,monte_carlo,0.4829,0.00499707504446,1.5428115016,-2.22155627227e-13
31,7,R_plus,average_rank,9,1,0,False,True,0.986111111111,0.958333333333,0.0277777777778,36,scipy.optimize.milp-highs,0.986111111111,exact,0.529155643739,0,1.57182148587,1.11133324765e-13
31,8,R_plus,average_rank,8,2,0,False,True,1,0.982142857143,0.0178571428571,32,scipy.optimize.milp-highs,1,exact,0.561706349206,0,1.85822120118,0
31,9,R_plus,average_rank,6,2,0,False,True,1,0.966666666667,0.0333333333333,24,scipy.optimize.milp-highs,1,exact,0.694444444444,0,1.78571428571,0
31,10,R_plus,average_rank,4,0,0,True,True,0.5,0.5,0,16,scipy.optimize.milp-highs,0.5,exact,0.166666666667,0,1,0
32,1,R_plus,average_rank,14,1,0,False,True,0.994505494505,0.978021978022,0.0164835164835,56,scipy.optimize.milp-highs,0.978021978022,monte_carlo,0.4288,0.00494904596867,1.64165390505,0.0164835164835
32,2,R_plus,average_rank,13,1,0,False,True,0.974358974359,0.903846153846,0.0705128205128,52,scipy.optimize.milp-highs,0.961538461538,monte_carlo,0.2336,0.00423120597466,2.56140350877,0.012820512821
