n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,joint_set_coverage_mcse,projection_box_coverage,projection_box_coverage_mcse,mean_width,mean_width_mcse
4,0,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
4,0,rule_aware_partial_identification,5000,1,0,1,0,0.824776617943,0.000799281591289
4,0.05,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
4,0.05,rule_aware_partial_identification,5000,0.9478,0.00314595158931,0.9786,0.00204676472736,0.82077613127,0.000889827773453
4,0.1,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
4,0.1,rule_aware_partial_identification,5000,0.8988,0.00426560090377,0.9544,0.00295057099115,0.814605090729,0.00105493783228
4,0.2,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
4,0.2,rule_aware_partial_identification,5000,0.7968,0.00569108334906,0.9072,0.00410377877085,0.806141409968,0.00118141952668
5,0,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
5,0,rule_aware_partial_identification,5000,1,0,1,0,0.846346499838,0.000615703722409
5,0.05,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
5,0.05,rule_aware_partial_identification,5000,0.951,0.0030531400775,0.9792,0.00201848627872,0.843198381008,0.000728196078489
5,0.1,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
5,0.1,rule_aware_partial_identification,5000,0.897,0.00429905761525,0.9592,0.00279797028711,0.839147688079,0.000841031418953
5,0.2,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
5,0.2,rule_aware_partial_identification,5000,0.8032,0.00562319091399,0.917,0.00390195400396,0.832997371778,0.000939973942852
6,0,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
6,0,rule_aware_partial_identification,5000,1,0,1,0,0.864106548072,0.000535718428529
6,0.05,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
6,0.05,rule_aware_partial_identification,5000,0.9476,0.00315163998054,0.976,0.00216465635782,0.861630091474,0.000589461771049
6,0.1,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
6,0.1,rule_aware_partial_identification,5000,0.8998,0.00424683401133,0.9594,0.00279139505933,0.859707745966,0.000628008934297
6,0.2,rule_agnostic_partial_identification,5000,1,0,1,0,1,0
6,0.2,rule_aware_partial_identification,5000,0.7996,0.00566165866825,0.9164,0.00391475070146,0.853614287402,0.000753419669308
