synthesizer,n_active,outcome_noise_probability,method,n_seeds,replications_per_seed,total_replications,coverage_rate_mean,coverage_rate_median,coverage_rate_std,coverage_rate_q025,coverage_rate_q975,average_feasible_set_width_mean,average_feasible_set_width_median,average_feasible_set_width_std,average_feasible_set_width_q025,average_feasible_set_width_q975,false_certainty_rate_mean,false_certainty_rate_median,false_certainty_rate_std,false_certainty_rate_q025,false_certainty_rate_q975,baseline_error_mean,baseline_error_median,baseline_error_std,baseline_error_q025,baseline_error_q975,outcome_consistency_rate_mean,outcome_consistency_rate_median,outcome_consistency_rate_std,outcome_consistency_rate_q025,outcome_consistency_rate_q975,feasible_rate_mean,feasible_rate_median,feasible_rate_std,feasible_rate_q025,feasible_rate_q975
internal_percentage,4,0,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.126081440420915,0.125658064405393,0.00324423896938771,0.121965801047118,0.132202197700864,0.722,0.716,0.0300315623443421,0.6714,0.7766,1,1,0,1,1
internal_percentage,4,0,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0,rule_aware_partial_identification,20,250,5000,1,1,0,1,1,0.824776617943177,0.825121066810392,0.00365917576214349,0.817826535003312,0.831483530717247,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0.05,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9478,0.948,0.0132649121646863,0.9236,0.9682,1,1,0,1,1
internal_percentage,4,0.05,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.125682099711449,0.125819317358546,0.00375652372022113,0.118140438421412,0.131852330963464,0.6998,0.7,0.0271750659709653,0.6598,0.7442,1,1,0,1,1
internal_percentage,4,0.05,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0.05,rule_aware_partial_identification,20,250,5000,0.9786,0.98,0.0105650864942782,0.9539,0.992,0.820776131270397,0.821459885400448,0.0034577493859494,0.815373325251044,0.826828635054379,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0.1,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8988,0.9,0.0152508843574467,0.8697,0.92,1,1,0,1,1
internal_percentage,4,0.1,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.126015813824755,0.126349262198708,0.00282210588372814,0.121069240467079,0.131459866981102,0.6626,0.664,0.0315301025754921,0.6139,0.7101,1,1,0,1,1
internal_percentage,4,0.1,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0.1,rule_aware_partial_identification,20,250,5000,0.9544,0.954,0.0126757123748737,0.9318,0.9764,0.814605090728516,0.815299379563565,0.00485719401766374,0.806027448272404,0.82357632736462,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0.2,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7968,0.794,0.0186084304606951,0.772,0.8347,1,1,0,1,1
internal_percentage,4,0.2,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.125225369881466,0.125483499855583,0.00316591027954066,0.118163413965309,0.129952798063915,0.6178,0.622,0.0312941898088043,0.5558,0.6583,1,1,0,1,1
internal_percentage,4,0.2,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,4,0.2,rule_aware_partial_identification,20,250,5000,0.9072,0.906,0.0152232509150002,0.888,0.9341,0.806141409967835,0.807750838845368,0.00537964072685146,0.795686872611954,0.812399125324339,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,5,0,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
