synthesizer,n_active,outcome_noise_probability,configuration,seed_count,coverage_mean,coverage_median,coverage_std,coverage_q025,coverage_q975,width_mean,width_median,width_std,width_q025,width_q975,feasible_mean,feasible_median,feasible_std,feasible_q025,feasible_q975,n_candidates,n_rounds,false_certainty_mean,false_certainty_median,false_certainty_std,false_certainty_q025,false_certainty_q975,mean_compatible_states_mean,mean_compatible_states_median,mean_compatible_states_std,mean_compatible_states_q025,mean_compatible_states_q975
internal_percentage,4.0,0.0,internal_full_rule,20,1.0,1.0,0.0,1.0,1.0,0.8247766179431771,0.8251210668103921,0.003659175762143486,0.8178265350033117,0.8314835307172468,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,4.0,0.0,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,4.0,0.05,internal_full_rule,20,0.9786000000000001,0.98,0.010565086494278177,0.9539,0.992,0.8207761312703974,0.8214598854004483,0.0034577493859493953,0.815373325251044,0.8268286350543785,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,4.0,0.05,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,4.0,0.1,internal_full_rule,20,0.9544000000000002,0.954,0.012675712374873693,0.9318000000000001,0.9763999999999999,0.8146050907285158,0.8152993795635648,0.004857194017663744,0.8060274482724038,0.8235763273646197,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,4.0,0.1,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,4.0,0.2,internal_full_rule,20,0.9071999999999999,0.906,0.015223250915000154,0.888,0.9341,0.8061414099678348,0.8077508388453678,0.005379640726851458,0.795686872611954,0.8123991253243389,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,4.0,0.2,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.0,internal_full_rule,20,1.0,1.0,0.0,1.0,1.0,0.8463464998375194,0.8468360009891718,0.0030748914155784624,0.8406470307840799,0.8504308543975206,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.0,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.05,internal_full_rule,20,0.9791999999999998,0.98,0.0063045514052193045,0.9657,0.988,0.8431983810077414,0.8427049365186812,0.003267317695678671,0.8381185461885694,0.8495013539567896,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.05,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.1,internal_full_rule,20,0.9592,0.958,0.010748806543298812,0.9419,0.976,0.8391476880791366,0.8390892351802115,0.002856319133887979,0.8337989147009394,0.8436613933176299,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.1,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.2,internal_full_rule,20,0.917,0.912,0.016764624409122523,0.8937,0.9441999999999999,0.8329973717781234,0.8319546056725926,0.0044957420909046125,0.8263573774295007,0.8417808177008724,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,5.0,0.2,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.0,internal_full_rule,20,1.0,1.0,0.0,1.0,1.0,0.8641065480720596,0.864118615868285,0.0023079653511837313,0.8600955007653415,0.8675366601158496,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.0,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.05,internal_full_rule,20,0.976,0.976,0.007786628214276608,0.964,0.988,0.8616300914739936,0.8620375297344074,0.0025724059852335955,0.8576205139245406,0.8661332521821603,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.05,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.1,internal_full_rule,20,0.9594000000000001,0.962,0.011032964959133782,0.9419,0.9741,0.8597077459660968,0.8601218581407118,0.002950813366688029,0.8546664078211931,0.8642968801639878,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.1,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.2,internal_full_rule,20,0.9164,0.916,0.015294994021092743,0.8939,0.952,0.8536142874024067,0.8540067811157421,0.003894984316680701,0.8475830045971894,0.861413367888386,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
internal_percentage,6.0,0.2,internal_without_elimination,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,
external_ordinal,,,external_full,20,1.0,1.0,0.0,1.0,1.0,0.7929675925925925,0.7936342592592592,0.004978790025611155,0.7842395833333333,0.8013634259259259,1.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,71.01625,70.96944444444445,1.0643936990400709,69.36250000000001,72.61493055555555
external_ordinal,,,external_without_disclosure,20,1.0,1.0,0.0,1.0,1.0,0.9542337962962965,0.9540277777777778,0.003566237754285646,0.9490902777777778,0.9608692129629629,1.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,145.60597222222225,145.8,1.8861685508741488,142.61479166666666,148.67590277777776
external_ordinal,,,external_without_elimination,20,1.0,1.0,0.0,1.0,1.0,0.888888888888889,0.888888888888889,1.1390647892519134e-16,0.888888888888889,0.888888888888889,1.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,144.0,144.0,0.0,144.0,144.0
external_ordinal,,,external_without_save,20,0.21749999999999997,0.21250000000000002,0.04728753653037036,0.14958333333333332,0.3008333333333333,0.7372997685185185,0.7380787037037038,0.006751762725012146,0.7238107638888889,0.746775462962963,0.9900000000000002,0.9916666666666667,0.006398099132915976,0.9789583333333333,1.0,6.0,3.0,0.7725,0.775,0.04867393601080177,0.6908333333333334,0.8464583333333333,66.0826388888889,66.06666666666666,1.0371419761633158,64.45395833333333,67.68145833333334
external_ordinal,,,external_without_tie_handling,20,0.9558333333333332,0.9625,0.027319316046339193,0.8995833333333334,0.9916666666666667,0.7968240740740741,0.7989351851851851,0.006173090983344028,0.7833969907407408,0.8038726851851852,0.9979166666666668,1.0,0.0037021804859943145,0.9916666666666667,1.0,6.0,3.0,0.04208333333333333,0.03333333333333333,0.025858787685906607,0.008333333333333333,0.09604166666666665,72.82138888888889,72.82916666666667,1.0721173402632043,71.19430555555556,74.31659722222223
external_ordinal,,,external_full,20,1.0,1.0,0.0,1.0,1.0,0.8631699735449736,0.8636044973544974,0.003981428342096165,0.8564054232804234,0.8689416335978836,1.0,1.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,434.98597222222224,436.31805555555553,8.06146458387088,416.3723611111111,445.09270833333335
external_ordinal,,,external_without_disclosure,20,1.0,1.0,0.0,1.0,1.0,0.9619054232804233,0.9621560846560846,0.0026389433268464166,0.9576170634920634,0.9666653439153439,1.0,1.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,889.2158333333333,891.2361111111111,15.75041644457022,855.8770833333333,911.4070833333333
external_ordinal,,,external_without_elimination,20,1.0,1.0,0.0,1.0,1.0,0.9285714285714283,0.9285714285714284,1.1390647892519134e-16,0.9285714285714284,0.9285714285714284,1.0,1.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,980.0,980.0,0.0,980.0,980.0
external_ordinal,,,external_without_save,20,0.21500000000000002,0.21666666666666667,0.034792618696922975,0.15833333333333333,0.2710416666666667,0.8225046296296297,0.8225925925925927,0.006527136878837137,0.8126498015873016,0.8334435350529101,0.99875,1.0,0.0030528962377710162,0.9916666666666667,1.0,7.0,3.0,0.7837500000000001,0.7791666666666667,0.03498903336961955,0.725,0.8416666666666667,407.84972222222217,409.54027777777776,7.9260341060597375,389.4690277777778,417.78277777777777
external_ordinal,,,external_without_tie_handling,20,0.9175000000000001,0.9166666666666666,0.022278802239792107,0.8829166666666667,0.95875,0.8697147817460318,0.8705853174603175,0.004169799408846968,0.8615995370370371,0.8757561177248677,0.99875,1.0,0.0030528962377710167,0.9916666666666667,1.0,7.0,3.0,0.08124999999999999,0.08333333333333333,0.022110005408893203,0.03729166666666667,0.11270833333333333,453.59833333333336,455.3736111111111,7.874994115946103,436.38486111111115,464.91006944444445
external_ordinal,,,external_full,20,1.0,1.0,0.0,1.0,1.0,0.831751984126984,0.831235119047619,0.002913312838962457,0.8270782490079365,0.8373107638888889,1.0,1.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,328.21458333333334,328.68333333333334,5.7092909220499815,316.4529166666667,336.81984374999996
external_ordinal,,,external_without_disclosure,20,1.0,1.0,0.0,1.0,1.0,0.9591145833333332,0.9591691468253969,0.0023645209239579468,0.9550938740079364,0.964037822420635,1.0,1.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,672.3436458333333,673.8979166666666,11.629108472635794,646.6116145833333,686.0146354166667
external_ordinal,,,external_without_elimination,20,1.0,1.0,0.0,1.0,1.0,0.9047619047619048,0.9047619047619048,1.1390647892519134e-16,0.9047619047619048,0.9047619047619048,1.0,1.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,738.0,738.0,0.0,738.0,738.0
external_ordinal,,,external_without_save,20,0.04333333333333334,0.041666666666666664,0.01657871530516133,0.025,0.07937499999999999,0.7482075892857143,0.7471643518518518,0.005730084265727422,0.7404203455687831,0.7585925512566137,0.9645833333333333,0.9666666666666667,0.01573608175518441,0.9372916666666666,0.9920833333333333,7.0,4.0,0.9212500000000002,0.925,0.02269731545040008,0.8829166666666667,0.954375,306.94104166666665,307.4197916666667,5.7189119189041735,295.2177604166667,315.45208333333335
external_ordinal,,,external_without_tie_handling,20,0.9079166666666667,0.9,0.022208969001139316,0.8789583333333333,0.9460416666666667,0.8353482142857143,0.8348536706349207,0.0034971682649083554,0.8298375496031747,0.8418322172619047,0.9979166666666668,1.0,0.005969586661761491,0.9829166666666667,1.0,7.0,4.0,0.09000000000000001,0.09583333333333333,0.02069692182667305,0.05395833333333334,0.12104166666666666,342.1154166666667,342.8833333333333,5.389311636557653,330.67833333333334,348.91161458333335
