synthesizer,seed,n_active,outcome_noise_probability,configuration,coverage,width,feasible,n_candidates,n_rounds,false_certainty,mean_compatible_states
internal_percentage,20260716,4.0,0.0,internal_full_rule,1.0,0.8250481400750768,1.0,,,,
internal_percentage,20260716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,4.0,0.05,internal_full_rule,0.984,0.8154139859910686,1.0,,,,
internal_percentage,20260716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,4.0,0.1,internal_full_rule,0.952,0.8119495290053548,1.0,,,,
internal_percentage,20260716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,4.0,0.2,internal_full_rule,0.932,0.8128054447556207,1.0,,,,
internal_percentage,20260716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,5.0,0.0,internal_full_rule,1.0,0.8454678439453088,1.0,,,,
internal_percentage,20260716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,5.0,0.05,internal_full_rule,0.976,0.8468328349379755,1.0,,,,
internal_percentage,20260716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,5.0,0.1,internal_full_rule,0.948,0.8362326368476187,1.0,,,,
internal_percentage,20260716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,5.0,0.2,internal_full_rule,0.904,0.8374341477374592,1.0,,,,
internal_percentage,20260716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,6.0,0.0,internal_full_rule,1.0,0.8628515617549695,1.0,,,,
internal_percentage,20260716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,6.0,0.05,internal_full_rule,0.98,0.8607150113236216,1.0,,,,
internal_percentage,20260716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,6.0,0.1,internal_full_rule,0.972,0.8621991011296256,1.0,,,,
internal_percentage,20260716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20260716,6.0,0.2,internal_full_rule,0.92,0.8542526997107899,1.0,,,,
internal_percentage,20260716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,4.0,0.0,internal_full_rule,1.0,0.8238980824069145,1.0,,,,
internal_percentage,20261716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,4.0,0.05,internal_full_rule,0.992,0.8272435950461543,1.0,,,,
internal_percentage,20261716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,4.0,0.1,internal_full_rule,0.964,0.8221266980690816,1.0,,,,
internal_percentage,20261716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,4.0,0.2,internal_full_rule,0.888,0.7933950765728065,1.0,,,,
internal_percentage,20261716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,5.0,0.0,internal_full_rule,1.0,0.8463242072654975,1.0,,,,
internal_percentage,20261716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,5.0,0.05,internal_full_rule,0.984,0.8395456661356445,1.0,,,,
internal_percentage,20261716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,5.0,0.1,internal_full_rule,0.952,0.8380313681549136,1.0,,,,
internal_percentage,20261716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,5.0,0.2,internal_full_rule,0.912,0.8298013416156157,1.0,,,,
internal_percentage,20261716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,6.0,0.0,internal_full_rule,1.0,0.8607156381646573,1.0,,,,
internal_percentage,20261716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,6.0,0.05,internal_full_rule,0.984,0.8570383203505385,1.0,,,,
internal_percentage,20261716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20261716,6.0,0.1,internal_full_rule,0.972,0.8626312517509044,1.0,,,,
