synthesizer,seed,n_active,outcome_noise_probability,coverage_aware,width_aware,coverage_bayesian,width_bayesian,feasible,clean_cell,aware_pareto_dominates,bayesian_pareto_dominates,parameter_region,n_candidates,n_rounds
internal_percentage,20260716,4.0,0.0,1.0,0.8250481400750768,0.912,0.6001415005366291,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20260716,4.0,0.05,0.984,0.8154139859910686,0.84,0.5935700628056266,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20260716,4.0,0.1,0.952,0.8119495290053548,0.8393574297188755,0.5916807786574563,0.996,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20260716,4.0,0.2,0.932,0.8128054447556207,0.78,0.5861409081109765,1.0,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20260716,5.0,0.0,1.0,0.8454678439453088,0.824,0.5301984544119654,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20260716,5.0,0.05,0.976,0.8468328349379755,0.828,0.5270407749664702,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20260716,5.0,0.1,0.948,0.8362326368476187,0.7791164658634538,0.5243284068521182,0.996,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20260716,5.0,0.2,0.904,0.8374341477374592,0.7,0.5202488196311074,1.0,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20260716,6.0,0.0,1.0,0.8628515617549695,0.832,0.4675623610412146,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20260716,6.0,0.05,0.98,0.8607150113236216,0.752,0.46299276080119744,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20260716,6.0,0.1,0.972,0.8621991011296256,0.776,0.46819133644215033,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20260716,6.0,0.2,0.92,0.8542526997107899,0.688,0.4605577985271822,1.0,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20261716,4.0,0.0,1.0,0.8238980824069145,0.88,0.5958988521556595,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20261716,4.0,0.05,0.992,0.8272435950461543,0.888,0.6042769722824375,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20261716,4.0,0.1,0.964,0.8221266980690816,0.84,0.5944455494146406,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20261716,4.0,0.2,0.888,0.7933950765728065,0.7349397590361446,0.5796137467002809,0.996,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20261716,5.0,0.0,1.0,0.8463242072654975,0.8473895582329317,0.5271724607254588,0.996,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20261716,5.0,0.05,0.984,0.8395456661356445,0.8192771084337349,0.5277859172950092,0.996,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20261716,5.0,0.1,0.952,0.8380313681549136,0.8032128514056225,0.5237235228555003,0.996,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20261716,5.0,0.2,0.912,0.8298013416156157,0.7338709677419355,0.5224668558742664,0.992,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20261716,6.0,0.0,1.0,0.8607156381646573,0.82,0.4677638646285891,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20261716,6.0,0.05,0.984,0.8570383203505385,0.792,0.4661601816243952,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20261716,6.0,0.1,0.972,0.8626312517509044,0.724,0.4702672306500242,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20261716,6.0,0.2,0.912,0.8541519488119889,0.7028112449799196,0.4646594318018665,0.996,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20262716,4.0,0.0,1.0,0.8328668413828849,0.908,0.6037737314616634,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20262716,4.0,0.05,0.98,0.8174079013930252,0.816,0.5923942702174924,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20262716,4.0,0.1,0.944,0.8156746572306781,0.776,0.5843656348243145,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20262716,4.0,0.2,0.908,0.8038231313904454,0.7379032258064516,0.5852453096007225,0.992,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20262716,5.0,0.0,1.0,0.8473846552045962,0.86,0.527197974297708,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20262716,5.0,0.05,0.976,0.8461374942530375,0.844,0.5303711009032239,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20262716,5.0,0.1,0.952,0.8368145004216596,0.7670682730923695,0.5170752151468428,0.996,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20262716,5.0,0.2,0.9,0.8324891762986881,0.7429718875502008,0.5210953765655797,0.996,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20262716,6.0,0.0,1.0,0.8678630711611672,0.796,0.47062414798712715,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20262716,6.0,0.05,0.972,0.862017331337525,0.752,0.47037640099234984,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20262716,6.0,0.1,0.976,0.8574436619402622,0.7831325301204819,0.46440847358112597,0.996,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20262716,6.0,0.2,0.896,0.8498615857119831,0.66,0.45833929129107165,1.0,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20263716,4.0,0.0,1.0,0.8257543241192237,0.888,0.6009059729762128,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20263716,4.0,0.05,0.984,0.8257244683307191,0.856,0.5989197877819563,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20263716,4.0,0.1,0.952,0.8093783588701662,0.832,0.5854383831833935,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20263716,4.0,0.2,0.892,0.8040347763732384,0.732,0.5811052128382769,1.0,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20263716,5.0,0.0,1.0,0.8458109507514937,0.828,0.5329034223347489,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20263716,5.0,0.05,0.98,0.8426302881761785,0.78,0.5268053996791396,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20263716,5.0,0.1,0.968,0.8390143961919927,0.8192771084337349,0.5260370208007731,0.996,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20263716,5.0,0.2,0.924,0.8406407155965775,0.732,0.5259918699797409,1.0,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20263716,6.0,0.0,1.0,0.8632521136326442,0.82,0.4725146920021482,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20263716,6.0,0.05,0.976,0.8627537966760246,0.84,0.46682602419407815,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20263716,6.0,0.1,0.964,0.8615954241387973,0.764,0.4659992524217229,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20263716,6.0,0.2,0.904,0.8584288100026434,0.716,0.4684028372675292,1.0,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20264716,4.0,0.0,1.0,0.8265054064208833,0.832,0.5956764995667803,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20264716,4.0,0.05,0.972,0.8197204823401599,0.8835341365461847,0.5956149921692234,0.996,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20264716,4.0,0.1,0.936,0.8155816656938853,0.832,0.5909717312720485,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20264716,4.0,0.2,0.936,0.8116331073584946,0.788,0.5846293848816276,1.0,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20264716,5.0,0.0,1.0,0.845730465318593,0.812,0.52524577387126,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20264716,5.0,0.05,0.976,0.8496782730877018,0.788,0.5318829563137808,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20264716,5.0,0.1,0.968,0.8397478037866859,0.8266129032258065,0.5258246005927389,0.992,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20264716,5.0,0.2,0.9,0.8307508479732992,0.744,0.5132695950420265,1.0,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20264716,6.0,0.0,1.0,0.864769083482641,0.808,0.46646700904738375,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20264716,6.0,0.05,0.964,0.8620928303841329,0.792,0.4714922071353407,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20264716,6.0,0.1,0.948,0.8545069131466344,0.744,0.46270473235639026,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20264716,6.0,0.2,0.916,0.8540706985803719,0.6987951807228916,0.4615727213614635,0.996,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20265716,4.0,0.0,1.0,0.8299546084025942,0.876,0.6028362698204988,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20265716,4.0,0.05,0.984,0.8232149964950326,0.828,0.5967781391265203,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20265716,4.0,0.1,0.948,0.8100312431856216,0.7951807228915663,0.5844402878275673,0.996,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20265716,4.0,0.2,0.912,0.8091045218558195,0.7871485943775101,0.5854896601645283,0.996,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20265716,5.0,0.0,1.0,0.8508978498945693,0.856,0.5327798310299766,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20265716,5.0,0.05,0.984,0.8430035073391925,0.792,0.528298354048957,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20265716,5.0,0.1,0.96,0.8365034616712352,0.78,0.5193788675178961,1.0,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20265716,5.0,0.2,0.94,0.8384023221971383,0.744,0.5189826358475836,1.0,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20265716,6.0,0.0,1.0,0.864256386982373,0.876,0.4710898463168196,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20265716,6.0,0.05,0.976,0.8632527375515893,0.808,0.4690155899944151,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20265716,6.0,0.1,0.948,0.8572966246459354,0.728,0.46429260179256404,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20265716,6.0,0.2,0.904,0.846756858668676,0.6680161943319838,0.4602730827675885,0.988,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20266716,4.0,0.0,1.0,0.8255932326253932,0.8951612903225806,0.6050573927840283,0.992,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20266716,4.0,0.05,0.984,0.821497673427456,0.864,0.5948624297014091,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20266716,4.0,0.1,0.952,0.8101635425237023,0.796,0.5868272764258349,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20266716,4.0,0.2,0.888,0.8016049885652027,0.7550200803212851,0.5829125192297931,0.996,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20266716,5.0,0.0,1.0,0.8467480071932764,0.8674698795180723,0.5286421047995312,0.996,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20266716,5.0,0.05,0.98,0.846115552816956,0.784,0.525994223949893,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20266716,5.0,0.1,0.964,0.8426269855231383,0.7951807228915663,0.5297251789215501,0.996,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20266716,5.0,0.2,0.904,0.8302527440995786,0.7228915662650602,0.5156795473444324,0.996,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20266716,6.0,0.0,1.0,0.8636183033514305,0.884,0.46985809666117806,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20266716,6.0,0.05,0.976,0.8620577281312897,0.764,0.4682075911349322,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20266716,6.0,0.1,0.952,0.8612965902739946,0.78,0.4719114130864924,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20266716,6.0,0.2,0.92,0.8537488577400378,0.704,0.4577875012672779,1.0,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20267716,4.0,0.0,1.0,0.8276735754988755,0.888,0.5994814016128592,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20267716,4.0,0.05,0.956,0.8153365369624502,0.7991967871485943,0.5910853834817403,0.996,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20267716,4.0,0.1,0.968,0.815559248217303,0.852,0.5943439870639227,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20267716,4.0,0.2,0.896,0.8115005737611041,0.728,0.5817917386193194,1.0,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20267716,5.0,0.0,1.0,0.8489319504500569,0.832,0.5309476123554556,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20267716,5.0,0.05,0.988,0.8493058117594656,0.828,0.5295094064877158,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20267716,5.0,0.1,0.956,0.8391640741684304,0.772,0.5255286664971278,1.0,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20267716,5.0,0.2,0.888,0.824559215042243,0.642570281124498,0.5137361808533182,0.996,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20267716,6.0,0.0,1.0,0.8610609359838067,0.7710843373493976,0.46602282736690614,0.996,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20267716,6.0,0.05,0.988,0.862948065281413,0.8152610441767069,0.46909001503524606,0.996,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20267716,6.0,0.1,0.948,0.8583629250730902,0.688,0.4652428269588492,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20267716,6.0,0.2,0.924,0.8561058544813295,0.7349397590361446,0.46270106189128907,0.996,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20268716,4.0,0.0,1.0,0.8268134607235774,0.896,0.5955401055712128,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20268716,4.0,0.05,0.98,0.8214220973734406,0.868,0.593161418312324,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20268716,4.0,0.1,0.956,0.8155455195476687,0.8594377510040161,0.5882780002646345,0.996,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20268716,4.0,0.2,0.896,0.7982199103394328,0.7269076305220884,0.5788802817824149,0.996,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20268716,5.0,0.0,1.0,0.8488324827841279,0.848,0.5310475573699756,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20268716,5.0,0.05,0.98,0.8427795848611839,0.8072289156626506,0.5250810038143875,0.996,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20268716,5.0,0.1,0.976,0.8406579737784612,0.836,0.5225841629490527,1.0,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20268716,5.0,0.2,0.948,0.8283448200680485,0.8016194331983806,0.5201225141610701,0.988,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20268716,6.0,0.0,1.0,0.8657282490069371,0.796,0.46737939030067077,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20268716,6.0,0.05,0.984,0.8660119184892625,0.836,0.46998592031181907,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20268716,6.0,0.1,0.964,0.8548426914088633,0.8072289156626506,0.45955019030503513,0.996,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20268716,6.0,0.2,0.928,0.8574422757516333,0.751004016064257,0.4643704110127684,0.996,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20269716,4.0,0.0,1.0,0.8238160923492897,0.908,0.5959718812234512,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20269716,4.0,0.05,0.98,0.8166973969305839,0.8072289156626506,0.5886786505716368,0.996,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20269716,4.0,0.1,0.968,0.8248878967272495,0.844,0.5983404803466599,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20269716,4.0,0.2,0.908,0.8001510295408667,0.7831325301204819,0.5866455886562205,0.996,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20269716,5.0,0.0,1.0,0.841153047754399,0.86,0.5265823395048698,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20269716,5.0,0.05,0.984,0.8415893266134012,0.84,0.5199964016394113,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20269716,5.0,0.1,0.976,0.8443331246471111,0.7951807228915663,0.5296016578799089,0.996,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20269716,5.0,0.2,0.908,0.8314200350464972,0.7670682730923695,0.520736990175846,0.996,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20269716,6.0,0.0,1.0,0.8661592199625212,0.828,0.46872630958216704,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20269716,6.0,0.05,0.98,0.8662430302852583,0.788,0.4691155779596737,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20269716,6.0,0.1,0.964,0.8594199737123542,0.736,0.4645686703094886,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20269716,6.0,0.2,0.904,0.84849611325502,0.7096774193548387,0.4569525100900815,0.992,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20270716,4.0,0.0,1.0,0.8211519928551431,0.876,0.5980434761947866,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20270716,4.0,0.05,0.98,0.8180032417822501,0.832,0.5915003727674121,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20270716,4.0,0.1,0.952,0.8152891064805425,0.8,0.5861700402573291,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20270716,4.0,0.2,0.904,0.8037005116377366,0.7791164658634538,0.5792012472001279,0.996,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20270716,5.0,0.0,1.0,0.8469239947850673,0.872,0.5294789380107108,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20270716,5.0,0.05,0.98,0.8409890834668188,0.86,0.523232625248341,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20270716,5.0,0.1,0.952,0.8386346709374952,0.776,0.5214767880408784,1.0,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20270716,5.0,0.2,0.94,0.8351949542690814,0.7670682730923695,0.5211650622711594,0.996,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20270716,6.0,0.0,1.0,0.8595344240707224,0.8473895582329317,0.4652764000018297,0.996,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20270716,6.0,0.05,0.964,0.862379592661383,0.824,0.4704077561668168,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20270716,6.0,0.1,0.968,0.8586401955534537,0.812,0.4662462521592675,1.0,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20270716,6.0,0.2,0.92,0.8526367843553071,0.68,0.4602986252092158,1.0,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20271716,4.0,0.0,1.0,0.8233254898548906,0.86,0.5980925359503323,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20271716,4.0,0.05,0.992,0.8228923288283008,0.864,0.596988031759751,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20271716,4.0,0.1,0.956,0.8146534875022844,0.844,0.5895728051073977,1.0,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20271716,4.0,0.2,0.916,0.8114108033594045,0.7298387096774194,0.5875004325083263,0.992,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20271716,5.0,0.0,1.0,0.8431898403380661,0.8232931726907631,0.5286051810687922,0.996,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20271716,5.0,0.05,0.972,0.8425408136172302,0.804,0.521496866150863,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20271716,5.0,0.1,0.976,0.8395422694132126,0.8313253012048193,0.5260439015847507,0.996,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20271716,5.0,0.2,0.924,0.8364519465691495,0.7269076305220884,0.5220095006992702,0.996,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20271716,6.0,0.0,1.0,0.8613527622629344,0.812,0.46714225439902346,1.0,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20271716,6.0,0.05,0.968,0.8605217495466648,0.776,0.4630839649554589,1.0,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20271716,6.0,0.1,0.96,0.8588484639036307,0.7459677419354839,0.4710134679836079,0.992,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20271716,6.0,0.2,0.916,0.8498910979689921,0.6867469879518072,0.4576506659163347,0.996,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20272716,4.0,0.0,1.0,0.8244310505226414,0.896,0.6001774432875909,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20272716,4.0,0.05,0.976,0.8226839980959404,0.856,0.5933543430011703,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20272716,4.0,0.1,0.96,0.813199665507731,0.7831325301204819,0.5886832963455528,0.996,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20272716,4.0,0.2,0.9,0.8005324003825423,0.708,0.5755593398172817,1.0,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20272716,5.0,0.0,1.0,0.8495063697146756,0.852,0.5325738848601355,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20272716,5.0,0.05,0.984,0.8444492487689272,0.824,0.5227300000208772,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20272716,5.0,0.1,0.96,0.8355710817826201,0.796,0.5191042239472241,1.0,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20272716,5.0,0.2,0.94,0.8428123386523775,0.748,0.5238070729893606,1.0,False,False,False,"internal n=5, noise=0.20",,
internal_percentage,20272716,6.0,0.0,1.0,0.8639808447541971,0.8313253012048193,0.4726388424472354,0.996,True,False,False,"internal n=6, noise=0.00",,
internal_percentage,20272716,6.0,0.05,0.972,0.8606195280727285,0.8393574297188755,0.46893550021851194,0.996,False,False,False,"internal n=6, noise=0.05",,
internal_percentage,20272716,6.0,0.1,0.944,0.85491837088036,0.7389558232931727,0.4595711550356418,0.996,False,False,False,"internal n=6, noise=0.10",,
internal_percentage,20272716,6.0,0.2,0.92,0.8550245151533267,0.716,0.46029776074640666,1.0,False,False,False,"internal n=6, noise=0.20",,
internal_percentage,20273716,4.0,0.0,1.0,0.8212426173013017,0.88,0.5982441399791222,1.0,True,False,False,"internal n=4, noise=0.00",,
internal_percentage,20273716,4.0,0.05,0.988,0.8218707878793128,0.872,0.5975412111203051,1.0,False,False,False,"internal n=4, noise=0.05",,
internal_percentage,20273716,4.0,0.1,0.984,0.8206905525783383,0.8554216867469879,0.5961180346414319,0.996,False,False,False,"internal n=4, noise=0.10",,
internal_percentage,20273716,4.0,0.2,0.932,0.8119500354266065,0.7692307692307693,0.5886091838930589,0.988,False,False,False,"internal n=4, noise=0.20",,
internal_percentage,20273716,5.0,0.0,1.0,0.84991470147973,0.872,0.5339211764908547,1.0,True,False,False,"internal n=5, noise=0.00",,
internal_percentage,20273716,5.0,0.05,0.988,0.8423602433748977,0.856,0.5272381354602133,1.0,False,False,False,"internal n=5, noise=0.05",,
internal_percentage,20273716,5.0,0.1,0.944,0.8409279974820475,0.768,0.5238040233023116,1.0,False,False,False,"internal n=5, noise=0.10",,
internal_percentage,20273716,5.0,0.2,0.92,0.8336227505066013,0.7258064516129032,0.5178468981641062,0.992,False,False,False,"internal n=5, noise=0.20",,
