synthesizer,seed,n_active,outcome_noise_probability,method,coverage,width,n_candidates,n_rounds
internal_percentage,20260716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,4.0,0.0,rule_aware_partial_identification,1.0,0.8250481400750768,,
internal_percentage,20260716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,4.0,0.05,rule_aware_partial_identification,0.984,0.8154139859910686,,
internal_percentage,20260716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,4.0,0.1,rule_aware_partial_identification,0.952,0.8119495290053548,,
internal_percentage,20260716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,4.0,0.2,rule_aware_partial_identification,0.932,0.8128054447556207,,
internal_percentage,20260716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,5.0,0.0,rule_aware_partial_identification,1.0,0.8454678439453088,,
internal_percentage,20260716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,5.0,0.05,rule_aware_partial_identification,0.976,0.8468328349379755,,
internal_percentage,20260716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,5.0,0.1,rule_aware_partial_identification,0.948,0.8362326368476187,,
internal_percentage,20260716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,5.0,0.2,rule_aware_partial_identification,0.904,0.8374341477374592,,
internal_percentage,20260716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,6.0,0.0,rule_aware_partial_identification,1.0,0.8628515617549695,,
internal_percentage,20260716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,6.0,0.05,rule_aware_partial_identification,0.98,0.8607150113236216,,
internal_percentage,20260716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,6.0,0.1,rule_aware_partial_identification,0.972,0.8621991011296256,,
internal_percentage,20260716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20260716,6.0,0.2,rule_aware_partial_identification,0.92,0.8542526997107899,,
external_ordinal,20260716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20260716,,,rule_aware_discretion,1.0,0.9504166666666668,6.0,3.0
external_ordinal,20260716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20260716,,,rule_aware_discretion,1.0,0.9630886243386243,7.0,3.0
external_ordinal,20260716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20260716,,,rule_aware_discretion,1.0,0.9604613095238095,7.0,4.0
internal_percentage,20261716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,4.0,0.0,rule_aware_partial_identification,1.0,0.8238980824069145,,
internal_percentage,20261716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,4.0,0.05,rule_aware_partial_identification,0.992,0.8272435950461543,,
internal_percentage,20261716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,4.0,0.1,rule_aware_partial_identification,0.964,0.8221266980690816,,
internal_percentage,20261716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,4.0,0.2,rule_aware_partial_identification,0.888,0.7933950765728065,,
internal_percentage,20261716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,5.0,0.0,rule_aware_partial_identification,1.0,0.8463242072654975,,
internal_percentage,20261716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,5.0,0.05,rule_aware_partial_identification,0.984,0.8395456661356445,,
internal_percentage,20261716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,5.0,0.1,rule_aware_partial_identification,0.952,0.8380313681549136,,
internal_percentage,20261716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,5.0,0.2,rule_aware_partial_identification,0.912,0.8298013416156157,,
internal_percentage,20261716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,6.0,0.0,rule_aware_partial_identification,1.0,0.8607156381646573,,
internal_percentage,20261716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20261716,6.0,0.05,rule_aware_partial_identification,0.984,0.8570383203505385,,
internal_percentage,20261716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
